Name,Slot,Value
sparse0,1,0.00000002741177200000
sparse0,2,0.00000001320817900000
sparse0,3,0.00000005689750200000
sparse0,4,0.00000000846654300000
sparse1,6,0.00000002419685400000
sparse1,7,0.00000000757697900000
sparse1,8,0.00000001473319300000
sparse1,9,0.00000001239517600000
sparse1,10,0.00000001609559000000
sparse1,11,0.00000000787198750000
sparse2,13,0.00000000596600550000
sparse2,14,0.00000001535895000000
sparse2,15,0.00000001334972100000
sparse2,16,0.00000008514738000000
sparse2,17,0.00000002190352000000
sparse2,18,0.00000001208887200000
sparse2,19,0.00000013758961000000
sparse2,20,0.00000005353676000000
sparse2,21,0.00000003086092400000
sparse2,22,0.00000002226275000000
sparse2,23,0.00000000020547869000
sparse2,24,0.00000001393153100000
sparse2,25,0.00000005225027000000
sparse2,26,0.00000007177047000000
sparse2,27,0.00000000711754480000
sparse2,28,0.00000000238182560000
sparse2,29,0.00000000399218600000
sparse2,30,0.00000000760648400000
sparse2,31,0.00000000144867780000
sparse2,32,0.00000000769141200000
sparse2,33,0.00000003561781600000
sparse2,34,0.00000002222706600000
sparse2,35,0.00000000105738660000
sparse2,36,0.00000000409147100000
sparse2,37,0.00000000066142790000
sparse2,38,0.00000001100890600000
sparse2,40,0.00000000486752500000
sparse2,42,0.00000000777971400000
sparse2,43,0.00000000333520340000
sparse2,44,0.00000001558665600000
sparse2,45,0.00000000723076500000
sparse2,46,0.00000000046937610000
sparse2,47,0.00000000253968110000
sparse2,48,0.00000000065926310000
sparse2,49,0.00000000050110555000
sparse2,50,0.00000001006381400000
sparse2,51,0.00000001655120800000
sparse2,52,0.00000000040710463000
sparse2,53,0.00000000779896500000
sparse2,54,0.00000000186288100000
sparse2,55,0.00000000201868480000
sparse2,56,0.00000000574856870000
sparse3,59,0.00000000096270010000
sparse3,60,0.00000000318916340000
sparse3,61,0.00000000199056460000
sparse4,66,0.00000000355361000000
sparse4,67,0.00000000388770530000
sparse4,68,0.00000001347796700000
sparse4,69,0.00000001020879200000
sparse4,70,0.00000000881847800000
sparse4,71,0.00000000952808100000
sparse4,72,0.00000000533297900000
sparse4,73,0.00000000620114270000
sparse4,74,0.00000001255694000000
sparse5,76,0.00000000049267340000
sparse5,79,0.00000000834223500000
sparse5,80,0.00000000287545050000
sparse5,81,0.00000000576394350000
sparse5,82,0.00000002292855300000
sparse5,83,0.00000001259314400000
sparse5,84,0.00000001223238400000
sparse5,85,0.00000000322466450000
sparse5,86,0.00000000195457780000
sparse5,87,0.00000001146280400000
sparse5,88,0.00000000395355570000
sparse5,89,0.00000000976547800000
sparse6,91,0.00000000198779060000
sparse6,93,0.00000000168822430000
sparse6,96,0.00000000125071490000
sparse6,97,0.00000000125531760000
sparse6,99,0.00000000204350940000
sparse6,105,0.00000000000001364997
sparse6,106,0.00000000013062190000
sparse6,107,0.00000000016356348000
sparse6,108,0.00000001378737800000
sparse6,109,0.00000000004049886000
sparse6,115,0.00000000449638000000
sparse7,121,0.00000002295155400000
sparse7,122,0.00000000000000058800
sparse7,123,0.00000000000000101788
sparse7,124,0.00000000000000066766
sparse7,125,0.00000000000000019359
sparse7,127,0.00000000000000017274
sparse7,128,0.00000000000000071557
sparse7,130,0.00000000000000005660
sparse7,131,0.00000000000000011038
sparse7,132,0.00000000000000021784
sparse7,133,0.00000000000000018307
sparse7,134,0.00000000000000131349
sparse7,135,0.00000000000000013283
sparse7,136,0.00000000000000014967
sparse7,137,0.00000000000000010359
sparse7,138,0.00000000000000012324
sparse7,139,0.00000000000000095393
sparse7,140,0.00000000000000141063
sparse7,141,0.00000000377491100000
sparse7,142,0.00000000740681650000
sparse7,143,0.00000000562529300000
sparse7,144,0.00000000945794550000
sparse7,145,0.00000000450420860000
sparse7,146,0.00000000544099700000
sparse7,147,0.00000000268461520000
sparse7,148,0.00000000437622100000
sparse7,149,0.00000000347487200000
sparse7,150,0.00000000000000304666
sparse7,151,0.00000000000000101751
sparse7,152,0.00000000000000046254
sparse7,153,0.00000001502649400000
sparse7,154,0.00000000475519500000
sparse7,155,0.00000000357927840000
sparse7,156,0.00000001315651400000
sparse7,157,0.00000000114984470000
sparse7,158,0.00000000202063600000
sparse7,159,0.00000000278345060000
sparse7,160,0.00000000223278460000
sparse7,161,0.00000000201892640000
sparse7,162,0.00000000772428500000
sparse7,167,0.00000000000000004590
sparse7,168,0.00000000000000008201
sparse7,169,0.00000000000000005181
sparse7,170,0.00000000000000004672
sparse7,171,0.00000000000000014783
sparse7,172,0.00000000000000005748
sparse7,173,0.00000000000000006711
sparse7,177,0.00000000427877240000
sparse7,178,0.00000000502162760000
sparse7,179,0.00000000089431980000
sparse7,180,0.00000000067326320000
sparse7,181,0.00000000463485430000
sparse7,182,0.00000000552548400000
sparse7,183,0.00000000265827960000
sparse7,184,0.00000000156156350000
sparse7,185,0.00000000083062157000
sparse7,186,0.00000000457114700000
sparse7,187,0.00000000431525500000
sparse7,188,0.00000000260890380000
sparse7,189,0.00000000084699860000
sparse7,190,0.00000000190344960000
sparse7,245,0.00000000180007850000
sparse7,246,0.00000000274594800000
sparse7,247,0.00000000151107150000
sparse7,248,0.00000000098158210000
sparse7,249,0.00000000733125560000
sparse7,250,0.00000001260396900000
sparse7,251,0.00000001093807800000
sparse7,252,0.00000000227448280000
sparse7,253,0.00000000526848960000
sparse7,254,0.00000000512883000000
sparse7,255,0.00000000341554560000
sparse7,256,0.00000000085879050000
sparse7,257,0.00000001809984700000
sparse7,258,0.00000002193760900000
sparse7,259,0.00000001624014700000
sparse7,260,0.00000000420554200000
sparse7,261,0.00000001119001800000
sparse7,262,0.00000001403310800000
sparse7,263,0.00000000811784000000
sparse7,264,0.00000000316356920000
sparse7,265,0.00000002086958000000
sparse7,266,0.00000002015059400000
sparse7,267,0.00000001012743400000
sparse7,268,0.00000000312544610000
sparse7,269,0.00000001025549400000
sparse7,270,0.00000001454359100000
sparse7,271,0.00000000997367900000
sparse7,272,0.00000000286947290000
sparse7,273,0.00000000338824200000
sparse7,274,0.00000000404861830000
sparse7,275,0.00000000073537700000
sparse7,276,0.00000000092581490000
sparse7,277,0.00000000265306800000
sparse7,278,0.00000000420474100000
sparse7,279,0.00000000238048300000
sparse7,280,0.00000000075916345000
sparse7,700,0.00000000054376964000
sparse7,100,0.00000000070845996000
sparse7,191,0.00000000060684036000
sparse7,192,0.00000000263325870000
sparse7,193,0.00000004603855800000
sparse7,194,0.00000000257907380000
sparse7,195,0.00000000613286440000
sparse7,196,0.00000000639840270000
sparse7,197,0.00000000616348040000
sparse7,198,0.00000000099581240000
sparse7,199,0.00000000003199090600
sparse7,200,0.00000000271175300000
sparse7,201,0.00000001188571300000
sparse7,202,0.00000000845303300000
sparse7,203,0.00000000122676450000
sparse7,204,0.00000001115003600000
sparse7,205,0.00000000000000018734
sparse7,206,0.00000000000000637471
sparse7,207,0.00000002859698400000
sparse7,208,0.00000000787336400000
sparse7,209,0.00000000760975800000
sparse7,210,0.00000000103042920000
sparse7,211,0.00000001557716400000
sparse7,212,0.00000000642371900000
sparse7,213,0.00000000065886085000
sparse7,218,0.00000000223499620000
sparse7,219,0.00000003205409000000
sparse7,221,0.00000000000000219403
sparse7,222,0.00000000695063800000
sparse7,223,0.00000000398852240000
sparse7,224,0.00000000179692180000
sparse7,723,0.00000002386478600000
sparse7,39,0
sparse7,41,0
sparse7,63,0
sparse7,64,0
sparse7,65,0
sparse7,77,0
sparse7,78,0
sparse7,92,0
sparse7,94,0
sparse7,95,0
sparse7,226,0.00000001034578300000
sparse7,227,0.00000012063413000000
sparse7,228,0.00000000901557600000
sparse7,229,0.00000000462400400000
sparse7,230,0.00000000319360600000
sparse7,231,0.00000000187189660000
sparse7,232,0.00000000435534450000
sparse7,233,0.00000000012420856000
sparse7,234,0.00000000719297470000
sparse7,235,0.00000000869697100000
sparse7,236,0.00000000994423300000
sparse7,237,0.00000000019401147000
sparse7,238,0.00000000364801400000
sparse7,239,0.00000000640070570000
sparse7,240,0.00000000992828800000
sparse7,241,0.00000000066629663000
sparse7,242,0.00000000133552300000
sparse7,243,0.00000000649815700000
sparse7,244,0.00000000140651250000
sparse7,281,0.00000000021129827000
sparse7,282,0.00000000126338760000
sparse7,283,0.00000000115725210000
sparse7,284,0.00000000036723540000
sparse7,285,0.00000000110231860000
sparse7,286,0.00000000607969760000
sparse7,287,0.00000001263627400000
sparse7,288,0.00000000120966800000
sparse7,289,0.00000000319542440000
sparse7,290,0.00000000638267440000
sparse7,291,0.00000000672069330000
sparse7,292,0.00000000061450534000
sparse8,101,0.00000000185196790000
sparse8,102,0.00000000157002310000
sparse8,103,0.00000000247792600000
sparse8,104,0.00000000165448400000
sparse8,110,0.00000000317003360000
sparse8,111,0.00000000197509200000
sparse8,112,0.00000000534578030000
sparse8,113,0.00000000659802400000
sparse8,114,0.00000002951742100000
sparse8,116,0.00000002204610500000
sparse8,117,0.00000002766168400000
sparse8,126,0.00000002820050300000
sparse8,129,0.00000001040058500000
sparse8,163,0.00000001454614900000
sparse8,164,0.00000001181033400000
sparse8,165,0.00000000835935050000
sparse8,166,0.00000000531328050000
sparse9,320,0.00000001417772700000
sparse9,321,0.00000001006380200000
sparse9,322,0.00000000872094600000
sparse9,323,0.00000000929999800000
sparse9,324,0.00000000684340760000
sparse9,325,0.00000000636220850000
sparse9,326,0.00000000975922600000
sparse9,327,0.00000000672096600000
sparse9,300,0.00000006901472500000
sparse9,301,0.00000000113707550000
sparse9,302,0.00000000228542600000
sparse9,303,0.00000000350352080000
sparse9,304,0.00000000301093330000
sparse9,305,0.00000000621045400000
sparse9,306,0.00000000520971180000
sparse9,307,0.00000000601226450000
sparse9,308,0.00000000257049320000
sparse9,309,0.00000002126447500000
sparse9,310,0.00000000242771510000
sparse9,311,0.00000000353427690000
sparse9,312,0.00000000420242370000
sparse9,313,0.00000000685313670000
sparse9,314,0.00000000929171800000
sparse9,315,0.00000000495025800000
sparse9,316,0.00000000650788500000
sparse9,317,0.00000000489794200000
sparse10,390,0.00000003416272000000
sparse10,391,0.00000000887981000000
sparse10,392,0.00000000084810137000
sparse10,393,0.00000003228905000000
sparse10,394,0.00000005290347400000
sparse10,395,0.00000000330600300000
sparse10,396,0.00000000054839280000
sparse10,397,0.00000002073766200000
sparse10,398,0.00000002207670700000
sparse10,399,0.00000002086809300000
sparse10,400,0.00000001843712700000
sparse10,401,0.00000000619818640000
sparse10,402,0.00000000398248000000
sparse10,403,0.00000003544958000000
sparse10,404,0.00000001813864600000
sparse10,405,0.00000000298698090000
sparse10,406,0.00000000152469570000
sparse10,407,0.00000000146737040000
sparse10,408,0.00000000048231320000
sparse10,409,0.00000002829168000000
sparse11,701,0.00000000017074675000
sparse11,331,0.00000000069940330000
sparse11,702,0.00000000013594012000
sparse11,333,0.00000000013436169000
sparse11,703,0.00000000001516161500
sparse11,335,0.00000000019115627000
sparse11,704,0.00000000007577963000
sparse11,337,0.00000000025867025000
sparse11,705,0.00000000052719357000
sparse11,339,0.00000000069153160000
sparse11,706,0.00000000049078240000
sparse11,351,0.00000000081048370000
sparse11,707,0.00000000012418457000
sparse11,353,0.00000000030226360000
sparse11,708,0.00000000013437250000
sparse11,355,0.00000000048495850000
sparse11,709,0.00000000009834135000
sparse11,357,0.00000000061006660000
sparse11,710,0.00000000090292973000
sparse11,359,0.00000000179278140000
sparse12,370,0.00000000166378670000
sparse12,372,0.00000002115117500000
sparse12,373,0.00000003106200800000
sparse12,374,0.00000000788395750000
sparse12,724,0.00000000000000013019
sparse12,411,0.00000000026345381000
sparse12,412,0.00000000004509633600
sparse12,725,0.00000000000000001884
sparse12,414,0.00000000009469548000
sparse12,415,0.00000000006554737000
sparse12,416,0.00000000046896420000
sparse12,417,0.00000000073547160000
sparse12,726,0.00000000000000002175
sparse12,419,0.00000000007675394000
sparse12,420,0.00000000007809177000
sparse12,421,0.00000000111129960000
sparse12,422,0.00000000062962946000
sparse12,711,0.00000000065934880000
sparse12,424,0.00000000259900080000
sparse12,712,0.00000000205694730000
sparse12,426,0.00000000000000023716
sparse12,713,0.00000000131079040000
sparse12,428,0.00000000307037200000
sparse12,429,0.00000000171794760000
sparse12,714,0.00000000054898650000
sparse13,375,0.00000000000646932250
sparse13,376,0.00000000661524350000
sparse13,377,0.00000000000000030341
sparse13,378,0.00000000157232820000
sparse13,379,0.00000000699777500000
sparse13,385,0.00000000049896676000
sparse13,386,0.00000000538446840000
sparse13,387,0.00000000111341340000
sparse14,431,0.00000000105784960000
sparse14,715,0.00000000079119700000
sparse14,433,0.00000000090948465000
sparse14,716,0.00000000078925550000
sparse14,435,0.00000000033211794000
sparse14,717,0.00000000027384403000
sparse14,718,0.00000000053470380000
sparse14,719,0.00000000022217442000
sparse14,720,0.00000000055107410000
sparse14,721,0.00000000096066110000
sparse14,722,0.00000000266304220000
sparse15,388,0.00000001183253700000
reco_sparse,501,0
reco_sparse,502,0
reco_sparse,503,0
reco_sparse,504,0
reco_sparse,505,0
reco_sparse,506,0
reco_sparse,507,0
reco_sparse,508,0
reco_sparse,509,0
reco_sparse,510,0
reco_sparse,511,0
reco_sparse,512,0
reco_sparse,513,0
reco_sparse,514,0
reco_sparse,515,0
reco_sparse,516,0
reco_sparse,517,0
reco_sparse,518,0
reco_sparse,519,0
reco_sparse,520,0
reco_sparse,521,0
reco_sparse,522,0
reco_sparse,523,0
reco_sparse,524,0
reco_sparse,525,0
reco_sparse,526,0
reco_sparse,527,0
reco_sparse,528,0
reco_sparse,529,0
reco_sparse,530,0
reco_sparse,531,0
reco_sparse,532,0
reco_sparse,533,0
reco_sparse,534,0
reco_sparse,535,0
reco_sparse,536,0
reco_sparse,537,0
reco_sparse,538,0
reco_sparse,539,0
reco_sparse,540,0
reco_sparse,541,0
reco_sparse,542,0
reco_sparse,543,0
reco_sparse,544,0
reco_sparse,545,0
reco_sparse,546,0
reco_sparse,547,0
reco_sparse,548,0
reco_sparse,549,0
reco_sparse,550,0
reco_sparse,551,0
reco_sparse,552,0
reco_sparse,553,0
reco_sparse,554,0
reco_sparse,555,0
reco_sparse,556,0
reco_sparse,557,0
reco_sparse,558,0
reco_sparse,559,0
reco_sparse,560,0
reco_sparse,561,0
reco_sparse,562,0
reco_sparse,563,0
reco_sparse,564,0
reco_sparse,565,0
reco_sparse,566,0
reco_sparse,567,0
reco_sparse,568,0
reco_sparse,569,0
reco_sparse,570,0
reco_sparse,571,0
reco_sparse,572,0
reco_sparse,573,0
reco_sparse,574,0
reco_sparse,575,0
reco_sparse,576,0
reco_sparse,577,0
reco_sparse,578,0
reco_sparse,579,0
reco_sparse,580,0
reco_sparse,581,0
reco_sparse,582,0
reco_sparse,583,0
reco_sparse,584,0
reco_sparse,585,0
reco_sparse,586,0
reco_sparse,587,0
reco_sparse,588,0
reco_sparse,589,0
reco_sparse,590,0
reco_sparse,591,0
reco_sparse,592,0
reco_sparse,593,0
reco_sparse,594,0
reco_sparse,595,0
reco_sparse,596,0
reco_sparse,597,0
reco_sparse,598,0
reco_sparse,599,0
reco_sparse,600,0
reco_sparse,601,0
reco_sparse,602,0
reco_sparse,603,0
reco_sparse,604,0
reco_sparse,605,0
reco_sparse,606,0
reco_sparse,607,0
reco_sparse,608,0
reco_sparse,609,0
reco_sparse,610,0
reco_sparse,611,0
reco_sparse,612,0
reco_sparse,613,0
reco_sparse,614,0
reco_sparse,615,0
reco_sparse,616,0
reco_sparse,617,0
RECO_SIM_G_SEQ_16_380,618,0
RECO_SIM_G_SEQ_16_381,619,0
RECO_SIM_G_SEQ_8_382,620,0
RECO_SIM_G_SEQ_8_383,621,0
RECO_SIM_G_SEQ_8_384,622,0
SIM_G_SEQ_16_380,380,0.00000005664371400000
SIM_G_SEQ_16_381,381,0.00000011444774400000
SIM_G_SEQ_8_382,382,0.00000015909214000000
SIM_G_SEQ_8_383,383,0.00000005276381300000
SIM_G_SEQ_8_384,384,0.00000013898443000000
akg_combine_371,371,0.00000000396153950000
multimodal_emb,727,0.00000003828994700000
multimodal_emb,728,0.00000002475723800000
cot_user,442,0.00000000008832018400
cot_user,443,0.00000000005534004500
cot_user,444,0.00000000005244902400
cot_user,445,0.00000000028053268000
cot_user,446,0.00000000042227060000
cot_user,447,0.00000000046934845000
cot_user,452,0.00000000067303660000
cot_user,454,0.00000000110237640000
cot_user,455,0.00000000087586355000
cot_user,456,0.00000000083348930000
cot_user,457,0.00000000152281840000
cot_user,458,0.00000000113853220000
cot_user,459,0.00000000140819020000
cot_user,464,0.00000000254937500000
cot_photo,466,0.00000000019681287000
cot_photo,467,0.00000000022792304000
cot_photo,468,0.00000000016109121000
cot_photo,469,0.00000000023315905000
cot_photo,470,0.00000000011353967000
cot_photo,471,0.00000000042211346000
cot_photo,476,0.00000000000764918300
entity,478,0.00000000695058060000
entity,479,0.00000000558983970000
entity,480,0.00000000738202430000
entity,481,0.00000001184020300000
entity,482,0.00000001044353800000
entity,483,0.00000000748085900000
entity,484,0.00000000685528600000
entity,491,0.00000000824560950000
dpo,628,0.00000015141714000000
eshop_ad,629,0.00000002244306400000
eshop_ad,630,0.00000000309853250000
eshop_ad,631,0.00000000467182030000
eshop_ad,632,0.00000000649316820000
eshop_ad,633,0.00000000414133970000
eshop_ad,634,0.00000000353930800000
eshop_ad,635,0.00000000636747200000
eshop_ad,636,0.00000001800058600000
grpo_sparse,656,0.00000000396298640000
ue_score_sparse,637,0
ue_score_sparse,638,0
ue_score_sparse,639,0
ue_score_sparse,640,0
ue_score_sparse,641,0
ue_score_sparse,642,0
ue_score_sparse,643,0
ue_score_sparse,644,0
ue_score_sparse,645,0
ue_score_sparse,646,0
ue_score_sparse,647,0
ue_score_sparse,648,0
